RESPONDENT_NO,TIME,R2,R3,R4_1,DA1,DA2,DA3,SA1,SA2,SA3,DA4,DA5,DA6,DA7,DA8,DA9,DA10,DA11,DA12,DA13,DA14,SA4,SA5,SA6,SA7,SA8,SA9,SA10,SA11,D1_1,D1_2,D1_3,D1_4,D1_5,D1_6,D1_7,D1_8,D2,D2_d,D3,S1_1,S1_2,S1_3,S1_4,S1_5,S1_6,S1_7,S1_8,S2,S2_d,S3,S4,DN1_1,DN1_2,DN1_3,DN1_4,DN1_5,DN1_6,DN1_6d,SN1_1,SN1_2,SN1_3,SN1_4,SN1_5,SN1_6,SN1_6d,D,DN2,DN3_CD,DN4_CD,DN5_CD,DN3_ND,DN4_ND,DN5_ND,S,SN2_CS,SN3_CS,SN4_CS,SN5_CS,SN2_NS,SN3_NS,SN4_NS,SN5_NS,DC1,DC2,DC3,DC4,DC5,SC1,SC2,SC3,SC4,DC6,DC7,DC8,SC5,SC6,SC7,SC8,P1,P2,P3,P4,P5,P6,P7,P8,DI_CD,DI_ND,SI_CS,SI_NS,D4_1,D4_2,D4_3,D4_4,D4_5,D4_5d,D5_1,D5_2,D5_3,D5_4,D5_5,D5_6,D5_6d,D6,D7,D7_1,D7_1_1,D7_1_2,D7_1_3,D7_1_4,D7_1_5,D7_1_6,D8,S5_1,S5_2,S5_3,S5_4,S5_5,S5_6,S6_1,S6_2,S6_3,S6_4,S6_5,S6_6,S6_7,S6_7d,S7,S8,S9,S10,S11,CH1,CH2,CH2_1_1,CH2_1_2,CH2_2_1,CH2_2_2,CH2_2_3,CH2_2_4,CH2_2_4d,CH2_3,CH3,CH4,CH5,CH6,CK1,CK2,CK3,CK4,CK5,CK6,CK6_1,CK7,CK7_1,CK8,CK9,CK10,CK11,CK12,CK13,CK14,CK15,CK16,CK17,CK18,CK18_1,CK19,CK20,CK21,CK22,CK23,CK24,CK25,CK26,CK27,CD1,CD1_1,CD2,CD3,CD4,CD3_1,CD5,CD5_1,CD6,CD6_1,CD6_2,CD6_3,CD7,CD8,CD9,CD10,CD10_1,CD11,CD11_1,R4_2,R5,R6,R6_1,R6_2,R6_3,R6_4,R6_5,R7,RS,RS_2,DI_CD_NEW,SI_CS_NEW,DI_ND_NEW,SI_NS_NEW,D7_NEW,D7_1_NEW,CH1_NEW,CH2_NEW,CH2_3_NEW,CH3_NEW,CH4_NEW,CH5_NEW,CH6_NEW,CD1_NEW,CD3_NEW,CD5_NEW,CD6_NEW,CD8_NEW,CD9_NEW,CD10_NEW,CD11_NEW,R7_NEW
81,40,28,7,2,2,2,2,2,2,2,2,2,4,4,4,2,4,4,2,2,4,2,4,2,5,4,4,4,2,1,2,1,0,0,1,1,1,2,-1,15,1,1,1,2,0,1,1,1,3,-1,16,20,2,1,1,1,0,0,-1,2,0,0,0,0,0,-1,CD,4,4,1,1,-1,-1,-1,CS,4,1,1,2,-1,-1,-1,-1,2,4,2,4,4,2,2,2,2,4,4,4,4,4,2,4,2,2,4,4,4,2,4,2,1,-1,1,-1,2,0,0,0,0,-1,0,2,0,0,0,0,-1,1,2,-1,-1,-1,-1,-1,-1,-1,80,2,0,0,0,0,0,0,2,0,0,0,0,0,-2,1,140,1,1,4,1,1,2,1,1,0,2,0,-1,1,1,2,2,2,0,0,0,0,0,0,-1,1,-1,1,1,1,0,1,0,1,1,1,0,0,-1,1,1,1,1,1,0,0,0,0,2,-1,-1,2,0,-1,2,-1,2,-1,-1,-1,0,1,2,1,1,2,-1,1,4,1,2,5,-1,-1,0,1,1,-1,1,1,-1,-1,0,-1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1
82,35,62,4,0,2,2,1,1,1,1,2,4,4,4,4,4,4,4,2,2,4,2,4,2,4,4,4,4,2,0,2,0,0,0,1,1,1,5,-1,17,0,2,0,0,0,1,1,1,1,-1,17,-2,2,1,1,1,1,0,-1,0,0,0,0,0,0,-1,ND,2,-1,-1,-1,4,4,1,NS,-1,-1,-1,-1,4,4,2,4,2,2,2,4,4,2,2,2,2,5,2,5,4,4,2,5,4,2,2,4,4,4,4,4,-1,2,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,0,0,0,2,0,-1,2,2,1,1,1,0,0,0,0,1,0,-1,1,-1,1,1,1,1,1,0,1,0,1,1,0,-1,1,1,1,1,1,1,1,0,0,1,Ingay,2400,2,0,-1,2,-1,2,-1,-1,-1,0,2,2,2,-1,2,-1,1,6,3,-1,-1,-1,12000,0,2,1,-1,-1,-1,0,0,-1,-1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
83,25,37,6,2,2,3,2,2,2,3,3,4,1,4,3,2,4,3,3,2,4,2,4,2,4,4,3,3,2,0,1,1,0,2,1,1,1,5,-1,36,0,1,0,0,2,0,0,0,5,-1,-1,-1,2,1,1,0,0,0,-1,2,1,1,0,0,0,-1,ND,4,-1,-1,-1,4,4,4,NS,-1,-1,-1,-1,4,4,4,3,4,3,2,4,3,2,2,3,2,4,3,4,4,4,2,4,2,2,2,2,4,4,2,4,-1,2,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,2,1,0,1,2,0,-1,1,2,1,2,1,0,0,0,0,0,1,1,1,-1,1,1,1,0,1,1,1,0,1,1,0,-1,1,1,1,1,1,1,1,0,1,1,Maingay,2400,2,0,-1,2,-1,2,-1,-1,-1,0,1,1,2,-1,2,-1,2,5,1,1,5,-1,-1,0,2,1,-1,-1,-1,0,0,-1,-1,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0
84,35,60,4,2,2,4,2,2,3,2,2,4,4,4,4,4,4,4,4,2,4,2,4,2,4,4,4,4,4,0,1,1,2,1,1,1,1,5,-1,25,0,0,1,2,0,1,1,1,4,120,45,1,2,0,0,0,0,0,-1,0,0,0,0,0,0,-1,ND,2,-1,-1,-1,4,4,4,NS,-1,-1,-1,-1,4,4,4,4,4,2,2,4,4,4,2,2,2,4,4,4,4,4,4,4,2,2,2,4,4,4,2,4,-1,2,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,-2,0,-2,-2,-2,-2,-2,-2,2,2,2,2,0,0,0,0,0,1,0,1,-1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,"Maingay, sigawan",2200,2,0,-1,1,-1,2,-1,-1,-1,0,1,2,2,-1,2,-1,2,3,2,-1,-1,-1,-1,0,2,1,-1,-1,-1,0,0,-1,-1,0,0,-2,0,0,0,0,1,0,1,0,1,0,0,0,0
85,25,43,7,3,2,2,2,2,2,2,2,4,4,4,4,2,4,4,2,2,4,2,4,4,4,4,4,2,2,0,0,1,2,1,1,1,1,5,-1,18,0,2,1,0,0,1,1,1,5,-1,-1,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,ND,4,-1,-1,-1,4,2,2,NS,-1,-1,-1,-1,4,4,2,4,4,2,2,4,2,2,2,2,2,2,2,4,4,4,2,2,2,2,2,4,4,4,2,4,-1,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,0,1,0,2,0,-1,1,2,2,2,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,2,-1,-1,2,0,-1,2,-1,2,-1,-1,-1,0,1,2,1,1,2,-1,2,6,2,-1,-1,-1,-1,0,1,2,5,-1,-1,1,0,-1,-1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1
86,35,25,1,0,2,4,2,1,2,1,2,4,4,4,4,4,4,2,2,2,4,1,5,5,5,4,4,4,2,0,2,1,0,0,1,1,1,2,-1,17,0,2,1,0,0,1,1,1,4,60,19,4,2,1,1,0,1,0,-1,2,1,0,0,0,0,-1,CD,4,5,2,2,-1,-1,-1,NS,-1,-1,-1,-1,4,2,2,4,4,4,2,4,4,2,1,2,2,4,2,4,4,4,2,4,2,2,2,4,4,4,2,2,1,-1,-1,2,2,1,0,0,0,-1,2,1,0,0,0,0,-1,20,1,2,0,2,0,1,1,0,300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,2,0,2,0,0,0,-1,2,2,2,1,2,0,0,0,0,0,0,-1,1,-1,1,1,1,0,1,0,1,1,1,1,0,-1,1,1,1,1,1,0,0,1,1,2,-1,-1,1,1,"problema, perwisyo",2,-1,2,-1,-1,-1,0,1,1,2,0,1,1,1,7,2,-1,-1,-1,-1,0,2,1,-1,1,-1,-1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0
87,40,27,4,2,3,4,3,3,2,3,4,2,2,2,2,2,2,2,2,4,4,4,4,2,4,4,4,4,4,0,0,0,0,0,2,0,0,1,-1,16,0,0,0,0,0,2,0,0,2,-1,16,5,2,0,0,0,0,0,-1,0,0,0,0,0,0,-1,CD,2,4,2,4,-1,-1,-1,CS,4,2,4,4,-1,-1,-1,-1,4,2,2,4,4,4,3,4,2,3,2,4,3,4,2,2,2,2,2,4,2,3,2,4,1,-1,1,-1,0,0,2,0,0,-1,0,2,0,0,0,0,-1,5,1,2,0,0,0,0,2,0,100,2,0,0,0,0,0,0,2,0,0,0,0,0,-1,1,30,1,4,1,2,1,2,0,0,0,1,0,-1,2,2,1,2,2,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,0,-1,0,1,1,1,1,0,1,0,0,2,-1,-1,2,0,-1,2,-1,2,-1,-1,-1,1,1,2,2,-1,2,-1,1,6,2,-1,-1,-1,-1,-1,1,1,-1,1,1,-1,-1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
88,30,48,5,2,2,2,2,2,2,2,2,2,2,4,4,4,4,2,3,2,4,4,4,4,4,4,4,4,4,0,2,0,0,0,1,0,1,5,-1,19,0,2,0,0,0,1,0,0,4,-2,20,1,2,1,0,1,0,0,-1,2,1,0,0,0,0,-1,ND,4,-1,-1,-1,4,2,4,NS,-1,-1,-1,-1,4,4,4,4,4,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,2,2,2,4,4,2,4,-1,2,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,0,0,0,2,0,-1,1,2,1,2,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,1,0,-1,1,1,1,1,1,0,0,0,0,1,maingay,2400,2,0,-1,2,-1,2,-1,-1,-1,0,1,1,2,-1,2,-1,2,6,2,-1,-1,-1,-1,-2,-2,2,5,-1,-1,0,0,-1,-1,1,1,1,0,1,0,1,1,0,0,0,1,1,0,0,-2
89,60,61,2,0,3,3,3,1,2,2,3,4,2,2,4,4,4,2,2,4,4,1,4,3,5,4,4,3,2,0,2,1,1,1,1,1,1,3,-1,25,0,0,0,0,0,2,0,0,5,-1,-1,-1,2,0,0,0,1,0,-1,2,1,0,0,0,0,-1,CD,3,3,4,2,-1,-1,-1,NS,-1,-1,-1,-1,5,4,4,4,4,4,2,4,4,2,3,4,2,3,2,4,3,4,2,2,3,3,2,3,4,5,1,4,1,-1,-1,2,2,0,1,0,0,-1,2,1,1,1,1,0,-1,5,1,2,0,0,2,0,1,0,500,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,0,2,2,0,0,0,-1,1,1,1,1,2,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0,1,0,1,1,0,-1,1,1,1,1,1,0,0,1,1,2,-1,2400,2,0,-1,1,usok,2,-1,-1,-1,0,1,1,2,-1,2,-1,2,7,1,2,3,-1,-1,15000,1,1,-1,1,-1,-1,0,1,0,0,1,1,1,1,1,0,0,0,1,0,1,1,0,0,1
90,30,53,5,2,2,3,2,2,1,1,2,4,3,5,4,2,4,5,3,2,5,3,5,2,4,5,4,4,2,0,2,0,0,0,1,1,1,5,-1,42,0,2,0,0,1,1,1,1,4,2,42,5,2,0,1,1,0,0,-1,2,0,0,1,0,0,-1,ND,5,-1,-1,-1,4,4,5,NS,-1,-1,-1,-1,5,5,4,5,5,3,2,4,2,2,2,2,1,4,4,5,5,4,3,5,4,2,2,4,5,5,2,4,-1,2,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,1,0,1,0,2,0,-1,1,1,2,1,1,0,0,0,0,1,1,0,1,-1,1,0,1,1,1,1,1,1,1,1,0,-1,1,1,1,1,1,0,1,0,0,1,maingay,2300,2,0,-1,2,-1,2,-1,-1,-1,0,1,1,1,1,1,1,2,5,2,-1,-1,-1,-1,-2,1,2,7,-1,-1,0,0,-1,-1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1
91,33,28,8,2,2,3,3,1,2,1,3,3,3,2,4,4,4,2,2,2,4,2,5,2,5,5,5,5,1,0,2,0,0,0,1,1,1,2,-1,15,0,0,0,0,0,0,0,0,5,-1,-1,-1,2,1,1,0,0,0,-1,0,2,0,0,0,0,-1,CD,5,4,4,4,-1,-1,-1,NS,-1,-1,-1,-1,5,5,4,5,4,3,2,4,4,1,1,1,1,3,4,4,5,5,4,4,4,2,3,2,5,5,2,4,1,-1,-1,2,0,0,2,1,0,-1,0,2,0,1,0,0,-1,2,2,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,2,1,1,1,1,0,-1,1,2,1,1,1,0,0,0,0,0,0,-1,1,-1,1,1,1,0,1,0,1,1,1,1,0,-1,1,1,1,1,1,0,0,0,0,1,"maingay, nagwawala",2300,2,0,-1,2,-1,2,-1,-1,-1,0,2,2,2,-1,2,-1,1,7,1,2,5,-1,-1,5000,1,1,-1,1,-1,-1,0,0,-1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1
92,25,35,10,7,3,3,2,1,3,1,3,3,3,1,5,3,5,2,1,1,5,1,5,1,5,5,5,4,1,2,1,1,0,1,1,1,1,1,-1,16,2,1,1,0,1,1,1,1,3,-1,16,20,2,1,0,0,0,0,-1,2,0,0,0,0,0,-1,CD,5,5,4,5,-1,-1,-1,CS,5,5,5,5,-1,-1,-1,-1,5,3,1,5,3,3,3,3,1,3,2,3,2,3,3,3,3,1,1,3,5,5,1,5,1,-1,1,-1,1,0,1,1,2,Whiskey,0,2,1,0,0,0,-1,15,2,-1,-1,-1,-1,-1,-1,-1,300,2,0,0,0,0,0,0,2,0,0,0,0,0,-1,1,500,4,4,2,1,1,1,1,1,1,1,0,-1,1,1,1,1,1,0,0,0,0,0,0,-1,1,-1,1,1,1,1,1,0,1,1,1,1,0,-1,1,1,1,1,1,0,0,1,1,2,-1,-1,2,0,-1,2,-1,2,-1,-1,-1,0,1,2,1,20,1,20,2,4,1,2,5,-1,-1,0,1,1,-1,1,1,-1,-1,0,-1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1
93,28,58,3,0,1,1,1,1,1,1,3,3,4,5,4,4,5,5,3,1,5,1,5,1,5,5,5,5,1,0,0,0,0,0,2,0,1,6,-1,-1,0,0,0,0,0,2,1,1,5,-1,-1,-1,2,0,0,0,0,0,-1,2,0,0,1,0,0,-1,ND,5,-1,-1,-1,5,5,4,NS,-1,-1,-1,-1,5,5,5,5,5,1,1,1,1,1,1,1,1,5,4,4,4,4,1,5,1,1,1,2,4,4,1,5,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,1,1,1,1,1,0,-1,1,1,1,1,1,0,0,0,0,0,1,0,1,-1,1,1,1,1,1,0,1,1,1,1,0,-1,1,1,1,1,1,0,0,0,0,2,-1,1900,2,0,-1,2,-1,2,-1,-1,-1,2,2,2,2,-1,2,-1,2,7,3,-1,-1,-1,20000,0,1,1,-1,-1,-1,1,1,-1,-1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
94,37,60,4,1,2,2,2,2,3,2,2,3,1,2,5,5,5,4,2,4,5,4,4,4,3,3,4,2,3,0,2,1,1,1,1,1,1,4,408,14,0,0,1,1,1,1,1,1,3,-1,14,20,2,0,0,0,0,0,-1,2,0,0,0,0,0,-1,ND,5,-1,-1,-1,4,1,1,CS,5,2,5,4,-1,-1,-1,-1,5,2,2,4,3,2,3,4,2,3,4,4,2,2,2,2,2,4,1,2,5,5,1,1,-1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,0,0,0,0,2,0,0,0,0,0,0,-1,5,350,4,4,1,1,1,0,2,2,0,0,0,-1,1,2,1,1,2,0,0,0,0,0,0,-1,1,-1,1,1,1,1,1,0,1,1,1,0,0,-1,1,1,1,1,0,0,0,0,0,2,-1,-1,2,0,-1,2,-1,2,-1,-1,-1,0,1,1,2,-1,2,-1,2,5,3,-1,-1,-1,0,0,1,2,1,-1,1,0,-1,-1,-1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1
95,28,45,15,8,3,2,3,1,1,1,3,3,3,4,5,5,5,3,3,1,5,1,5,1,5,5,5,3,1,0,0,1,1,0,1,1,1,4,3,14,0,0,1,0,0,1,1,1,2,-1,11,-2,2,1,0,0,0,0,-1,0,0,0,2,0,0,-1,ND,5,-1,-1,-1,5,5,5,NS,-1,-1,-1,-1,5,5,5,5,5,2,2,5,2,2,2,2,2,5,5,5,3,4,4,5,3,4,1,3,4,5,1,3,-1,2,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,1,0,0,0,2,0,-1,2,1,1,1,1,0,0,0,0,0,0,-1,0,-1,1,1,1,1,1,0,1,0,1,1,0,-1,1,1,1,1,1,0,0,1,0,1,maingay,-1,2,0,-1,1,usok,2,-1,-1,-1,0,1,1,2,-1,1,0,1,7,1,2,3,-1,-1,0,2,2,6,-1,-1,0,0,-1,-1,0,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0
96,33,68,1,0,3,5,5,2,2,2,2,4,4,4,4,5,5,4,2,4,5,1,5,1,4,5,5,5,2,0,0,0,0,0,0,2,1,1,-1,10,0,2,0,0,0,1,1,1,5,-1,-1,-1,2,1,0,0,1,0,-1,0,0,0,0,0,0,-1,CD,5,4,2,1,-1,-1,-1,NS,-1,-1,-1,-1,5,4,1,5,5,2,2,5,5,4,2,2,5,5,5,5,2,4,4,5,1,1,1,4,5,5,4,5,2,-1,-1,2,1,0,0,2,1,Emperador,0,2,0,0,0,0,-1,0,2,-1,-1,-1,-1,-1,-1,-1,300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,2,1,2,0,0,0,-1,1,1,1,1,1,0,0,0,0,0,0,-1,0,-1,0,0,1,1,1,0,1,1,1,1,0,-1,1,1,1,1,1,0,0,0,1,1,"maingay, sobra na sa oras ng pamamahinga",2200,2,2,-1,2,-1,2,-1,-1,-1,1,1,1,1,4,1,4,1,7,3,-1,-1,-1,19999,2700,1,2,10,0,-1,-1,0,0,-1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1
97,32,27,5,1,3,4,3,1,1,1,4,3,3,3,5,5,3,2,2,2,5,2,5,1,5,5,5,4,1,1,2,1,0,1,1,1,1,1,-1,21,0,2,0,0,0,1,1,1,5,-1,-1,-1,2,1,1,1,1,0,-1,0,0,0,0,2,0,-1,CD,3,1,1,4,-1,-1,-1,NS,-1,-1,-1,-1,5,5,1,5,4,2,3,5,5,1,1,1,4,1,2,4,5,5,2,5,5,4,2,1,5,3,4,4,1,-1,-1,2,2,0,0,0,1,"Emperador, Kahit anong meron basta wag gin",2,1,0,0,1,0,-1,1,1,2,0,0,2,1,1,0,400,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,1,2,0,1,1,"""Garcia""",1,1,1,1,1,1,0,0,1,0,0,-1,0,-1,1,1,1,0,1,0,0,0,1,1,0,-1,1,1,1,1,1,0,0,0,0,2,-1,200,2,0,-1,1,"mabaho, family proctection",1,pagsita,kung saan may naninigarilyo,pagsita,-2,1,1,2,-1,2,-1,2,7,1,1,5,-1,-1,-2,1,2,15,1,-1,-1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1
98,45,52,3,0,3,4,4,1,1,1,4,2,4,4,1,1,5,5,4,1,5,1,5,2,5,5,5,4,1,2,1,1,1,1,1,1,1,3,-1,16,0,0,0,2,0,1,1,1,4,-2,23,-2,0,2,0,1,0,0,-1,0,0,0,0,0,0,-1,CD,5,2,2,4,-1,-1,-1,NS,-1,-1,-1,-1,4,2,2,4,5,1,1,4,2,1,1,1,1,1,2,5,4,4,2,3,1,1,1,4,5,4,4,4,1,-1,-1,2,2,0,0,0,0,-1,0,2,0,0,0,0,-1,0,2,-1,-1,-1,-1,-1,-1,-1,150,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,2,1,0,1,St Claire,1,2,1,1,1,0,1,0,0,0,0,-1,0,-1,1,1,1,1,1,0,0,0,1,0,0,-1,1,1,1,1,1,0,0,0,0,1,"magulo, exceed sa oras",2200,1,-2,"nangsita, tumawag sa barangay office",1,mabaho,1,mabaho,malapit sa akin,nangsita,-2,1,2,2,-1,2,-1,1,7,3,-1,-1,-1,0,0,-2,2,15,1,-1,-1,0,0,-1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,-2
99,20,24,6,0,1,3,3,1,1,1,3,2,3,1,4,4,4,2,2,2,1,2,5,1,5,4,4,4,2,1,2,0,0,0,1,1,1,5,-1,18,0,2,0,0,0,1,1,1,5,-1,-1,-1,2,0,0,0,1,0,-1,0,0,0,0,0,0,-1,ND,2,-1,-1,-1,4,3,2,NS,-1,-1,-1,-1,4,3,3,4,5,3,1,4,4,1,2,1,1,5,4,5,2,5,2,5,2,2,2,3,2,4,4,3,-1,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,0,0,2,0,-1,1,1,1,1,2,0,0,0,0,0,1,0,1,-1,1,1,1,0,1,0,0,0,1,0,0,-1,1,1,1,1,1,0,0,0,0,1,maingay,1200,2,0,-1,2,-1,2,-1,-1,-1,0,1,1,2,-1,2,-1,2,6,4,-1,-1,1000,-1,-2,2,1,-1,-1,-1,1,0,-1,-1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0
100,35,45,9,1,2,3,2,1,1,1,5,3,2,3,4,4,4,4,4,3,5,1,2,2,5,5,2,2,1,2,1,1,0,1,1,1,1,4,456,16,0,2,0,0,1,1,1,1,2,-1,-2,1,2,1,0,0,0,0,-1,0,0,0,0,0,0,-1,ND,4,-1,-1,-1,5,2,2,NS,-1,-1,-1,-1,4,4,1,4,5,1,1,4,4,2,1,3,1,4,1,5,5,5,3,4,2,4,1,4,4,4,3,4,-1,2,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,2,1,0,0,2,0,-1,2,1,1,2,1,0,0,0,0,0,1,1,0,-1,1,1,1,0,1,0,1,0,1,1,0,-1,1,1,1,1,1,0,0,0,0,1,"maingay, videoke",200,-2,0,-1,2,-1,2,-1,-1,-1,0,2,2,2,-1,2,-1,2,6,1,2,5,-1,-1,0,2,2,16,-1,-1,0,0,-1,-1,0,1,0,1,1,0,1,1,#NULL!,0,0,0,0,0,0,0
101,24,22,7,2,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,1,5,1,5,1,5,5,5,5,1,0,0,0,0,0,2,1,1,5,-1,18,0,1,0,0,0,1,1,1,5,-1,-1,-1,0,2,0,0,1,0,-1,0,0,0,0,2,0,-1,ND,5,-1,-1,-1,5,5,5,NS,-1,-1,-1,-1,5,5,5,5,5,1,1,5,4,4,5,1,1,4,4,5,5,5,1,5,5,1,1,5,4,5,4,3,-1,2,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,1,2,0,0,2,0,-1,1,2,1,1,2,0,0,0,0,0,0,-1,1,-1,1,1,1,0,1,1,1,0,1,1,0,-1,1,1,1,1,1,0,0,0,0,1,Maingay,2200,2,0,-1,2,-1,2,-1,-1,-1,0,1,1,2,-1,2,-1,2,7,1,2,4,-1,-1,0,2,2,1,-1,-1,0,0,-1,-1,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0
102,24,81,2,0,2,2,2,2,2,2,2,4,4,4,2,2,4,4,4,4,4,2,4,3,4,4,4,4,2,0,0,0,0,0,0,0,0,6,-1,-1,0,0,0,0,0,2,0,0,5,-1,-1,-1,0,0,0,0,0,0,-1,2,0,0,0,0,0,-1,ND,4,-1,-1,-1,4,2,2,NS,-1,-1,-1,-1,4,2,2,4,4,2,2,3,4,2,2,3,4,4,3,4,4,2,4,4,2,2,2,3,4,4,2,4,-1,2,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,2,1,1,0,2,0,-1,2,2,1,2,1,0,0,0,0,0,1,0,1,-1,1,1,1,0,1,0,0,0,1,1,0,-1,1,1,1,1,1,0,0,0,0,2,-1,-2,2,0,-1,2,-1,2,-1,-1,-1,0,1,1,2,-1,2,-1,2,7,3,2,-1,-1,0,0,1,2,9,-1,-1,0,0,-1,-1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1
